fund,vintage_year,capital_committed,cash_in,cash_out,cash_out_and_remaining_value,net_irr,investment_multiple
"Crosspoint Capital ISB Fund I, LP",2025,295000000,11910743,4796756,4796756,N/M,N/M
"Crosspoint Capital Ventures Fund I, LP",2025,500000000,15538326,0,3095152,N/M,N/M
CV Consortio Fund L.P.,2023,1250000000,881412016,1105668,3004326583,96.5%,3.4x
CVC Capital Partners Asia V L.P.,2020,200000000,194906489,64242374,290036999,13.5%,1.5x
CVC Capital Partners Asia VI (A) L.P.,2024,300000000,93115653,9500740,100122644,N/M,N/M
CVC Capital Partners IX (A) L.P.,2024,541998241,151280166,203281,173744695,N/M,N/M
CVC Capital Partners Strategic Opportunities Compounding Capital L.P.,2017,997280175,1072107469,645401147,2117246399,12.0%,2.0x
"CVC Capital Partners VI, L.P.",2014,567028924,691783406,1048676103,1382606948,15.4%,2.0x
CVC Capital Partners VII (A) L.P.,2018,440216128,590296096,750571817,1240311392,19.8%,2.1x
CVC Capital Partners VIII (A) L.P.,2021,86124666,766911601,706571900,882835475,6.0%,1.2x
CVC European Equity Partners III LP,2001,200000000,234497567,606506120,612010440,41.0%,2.6x
CVC European Equity Partners IV (D) L.P.,2005,325919816,406865452,726781649,727537220,17.2%,1.8x
CVC European Equity Partners V (B) L.P.,2008,561915687,710667384,1290077106,1303901254,16.4%,1.8x
DS Opportunities (C) LP,2021,509371626,285082392,25544411,545362382,30.2%,1.9x
"EII-C SPV, LP",2024,122400000,92643109,0,105851716,N/M,N/M
"EMAlternatives Investments, L.P.",2007,100000000,117646315,129268534,136474701,2.9%,1.2x
"Ember Infrastructure Fund II-B, LP",2024,100000000,24782839,1766778,26586142,N/M,N/M
EQT Healthcare Growth (No.2) SCSp,2025,117144129,24163485,164091,18395384,N/M,N/M
EQT IX (No.2) USD SCSp,2021,613824048,833800998,413855836,1118596372,9.1%,1.3x
EQT X (No.2) USD SCSp,2022,500000000,240354685,12123397,264845809,8.0%,1.1x
"Equip Opportunities Fund, L.P.",2023,200000000,152137950,0,159466562,6.2%,1.0x
Essential Innovation Partners (Opportunities) LP,2025,100000000,15232091,0,14914684,N/M,N/M
Essential Innovation Partners LP,2025,100000000,18655159,11234,22161593,N/M,N/M
"First Reserve Fund XIII, LP",2014,400000000,480722218,301233252,425341662,-2.9%,0.9x
Forbion BioEconomy Fund I Co?peratief U.A.,2024,40475887,10649732,0,9665332,N/M,N/M
Forbion Growth Opportunities Fund II Cooperatief U.A.,2023,17390713,11304085,12776429,19435688,N/M,N/M
Forbion Growth Opportunities Fund III Co?peratief U.A.,2024,388539488,111088071,19058142,151283007,N/M,N/M
Forbion Ventures Fund VI Cooperatief U.A.,2023,182319668,81462345,30331903,134137321,57.2%,1.6x
Forbion Ventures Fund VII Co?peratief U.A.,2024,275859956,49194228,183920,47824908,N/M,N/M
ForCal I Investment Fund C.V.,2023,450624079,284241082,19415900,404015412,35.6%,1.4x
"Forecastle, L.P.",2020,850000000,810442482,14975521,1228969865,15.9%,1.5x
Fourth Street Partners - CPS L.P.,2021,500000000,450615026,82213565,827497321,17.0%,1.8x
"Francisco Partners Agility II, L.P.",2020,50000000,41800000,38591222,90810082,26.7%,2.2x
"Francisco Partners Agility III, L.P.",2025,100000000,19050000,0,20006411,N/M,N/M
"Francisco Partners II, L.P.",2006,175000000,174005517,287632933,287632933,10.4%,1.7x
"Francisco Partners III, L.P.",2011,100000000,95284663,300844853,328268517,22.9%,3.4x
"Francisco Partners VI, L.P.",2021,208658137,243922250,91037958,359990880,12.6%,1.5x
"Francisco Partners VII, L.P.",2023,450000000,210150000,0,232365243,14.1%,1.1x
"FSP LR, L.P.",2024,10000000,311850,0,0,N/M,N/M
"GA Continuity II (GT) Fund, L.P.",2025,31619538,28631192,0,37895628,N/M,N/M
"Gaia Investments, S.L.P.",2024,200000000,98525000,0,133052599,N/M,N/M
"GB Palisade Partners, L.P.",2025,70000000,55421986,0,55093798,N/M,N/M
"GC Customer Value Fund, L.P.",2023,280494000,246965972,14845193,294679855,14.5%,1.2x
"GCM Grosvenor DEM II, L.P.",2014,250000000,271493094,275442684,470718863,14.2%,1.7x
"GCM Grosvenor DEM III, L.P.",2019,550000000,550671015,300523668,948042880,19.6%,1.7x
"GCM Grosvenor DEM, L.P.",2012,100000000,116841071,133366574,158540114,8.2%,1.4x
"GCM Grosvenor Elevate Fund, L.P.",2023,500000000,65631501,4235857,51427860,-16.9%,0.8x
General Atlantic Managed Account,2020,1050000000,969219895,122654744,1260508704,8.6%,1.3x
"General Catalyst Group XI - Health Assurance, L.P.",2023,200000000,186286867,0,249385197,17.2%,1.3x
"General Catalyst Group XII - Creation, L.P.",2024,200000000,165651645,242490,283891963,N/M,N/M
"General Catalyst Group XII - Endurance, L.P.",2024,293500000,254626531,993089,382506878,N/M,N/M
"General Catalyst Group XII - Health Assurance, L.P.",2024,100000000,73863661,4358,84212180,N/M,N/M
"General Catalyst Group XII - Ignition, L.P.",2024,200000000,146113877,148420,198344101,N/M,N/M
"Generation IM Sustainable Private Equity Fund II (A), ILP",2025,100000000,14520274,35022,15426129,N/M,N/M
"Genstar Capital Partners X, L.P.",2021,100000000,101846215,4169719,116834764,5.0%,N/M
"Genstar Capital Partners XI, L.P.",2023,200000000,28131976,2314438,35613316,28.3%,1.3x
"Genstar X Opportunities Fund I, L.P.",2021,150000000,134468661,7991326,182117343,10.3%,1.4x
"Genstar XI Opportunities Fund I, L.P.",2023,200000000,112094770,2329405,138157490,18.3%,1.2x
GI Data Infrastructure Fund II LP,2024,150000000,59827050,1285458,66175355,N/M,N/M
GIM LTE Hazel L.P.,2024,215000000,203850000,0,295524973,N/M,N/M
"Gold Hills Partners, L.P.",2024,450000000,311723361,44941807,453701010,N/M,N/M
"Gorseway Park PE, L.P.",2024,334620000,303928508,8939383,361634576,N/M,N/M
Grafine Direct Opportunities I LP,2025,11325000,2108392,0,1705073,N/M,N/M
"Grain Communications Opportunity Fund IV-A, L.P.",2023,200000000,62035228,1181403,56659527,-5.7%,0.9x
"Grandval II, L.P.",2019,1050000000,949887367,159053804,1533562203,14.4%,1.6x
"Grandval, L.P.",2018,50000000,49824644,15027711,89934116,14.0%,1.8x
GranTain Co-Invest L.P.,2021,350000000,218889741,19453459,255508445,6.4%,1.2x
"GreatPoint Opportunity Fund I, L.P.",2024,100000000,90092346,0,99229384,N/M,N/M
"Green Equity Investors CF II, L.P.",2021,60537375,60708143,0,101374307,13.6%,1.7x
"Green Equity Investors CF, L.P.",2021,186639450,183055172,114663634,246799447,11.3%,1.3x
"Green Equity Investors IX, L.P.",2023,500000000,312693076,17689549,376599094,16.0%,1.2x
"Green Equity Investors V, L.P.",2007,400000000,445789540,1023767776,1024401890,18.4%,2.3x
"Green Equity Investors VIII, L.P.",2020,119970601,571121596,650890198,784495151,9.0%,1.4x
"Greenbriar Equity Fund VI, L.P.",2023,95000000,56883380,14360,67490714,12.5%,1.2x
"Greenleaf Co-Invest Partners, L.P.",2021,1375000000,782908076,352886207,1344976729,20.6%,1.7x
"Gri""n Gaming Partners III, L.P.",2025,50000000,16500000,0,14357257,N/M,N/M
"GSC I, L.P.",2024,1042559615,399389298,0,453185677,N/M,N/M
GSO Energy Partners-C II LP,2016,250000000,231810386,295525791,302418561,8.2%,1.3x
GSO Energy Partners-C LP,2013,400000000,477367702,406374877,420751847,-3.0%,0.9x
Hanover Opportunities LP,2025,600000000,90533065,0,113765697,N/M,N/M
"Healthcare and Fintech, L.P.",2022,450000000,185751749,0,241170078,16.6%,1.3x
Hedosophia Partners VI L.P.,2024,110000000,54999996,0,77402506,N/M,N/M
Hedosophia Strategic Partners L.P.,2024,14134615,12356231,0,15691399,N/M,N/M
"Hellman & Friedman Capital Partners IX, L.P.",2020,432811370,716880497,469769803,1190631853,12.4%,1.7x
Hellman & Friedman Capital Partners VII,2011,300000000,286896670,946812895,964989729,24.5%,3.4x
"Hellman & Friedman Capital Partners VIII, L.P.",2016,500000000,520466078,426631226,896232720,10.1%,1.7x
"Hellman & Friedman Capital Partners X, L.P.",2021,687608057,983112123,409431392,1193882116,7.1%,1.2x
Hg Genesis 10 A L.P.,2023,143079854,64312835,0,80114931,18.3%,1.2x
Hg Mercury 4 A L.P.,2023,56987017,25288636,8754234,36288071,44.5%,1.4x
Hg Saturn 3 A L.P.,2023,150000000,79144505,0,97647103,10.5%,1.2x
Hg Saturn 4 A L.P.,2025,150000000,375000,0,2703230,N/M,N/M
"Highland Citrus Holdings, L.P.",2025,100000000,5101492,0,5140629,N/M,N/M
"HongShan Capital Expansion Fund I, L.P.",2024,134000000,27470000,0,29866107,N/M,N/M
"HongShan Capital Growth Fund VII, L.P.",2023,104000000,39576149,0,37396452,-4.9%,0.9x
"HongShan Capital Seed Fund III, L.P.",2022,12000000,7204613,0,6857726,-3.2%,1.0x
"HongShan Capital Venture Fund IX, L.P.",2022,32000000,15863674,0,17490906,7.4%,1.1x
"Hornet Co-Invest, L.P.",2024,2000000000,1154265366,0,1457829439,N/M,N/M
"Innovation Opportunities, L.P.",2023,1994451977,1489172618,0,2923829394,74.2%,2.0x
"Insight Partners XI, L.P.",2020,400000000,389200000,37522476,696806194,12.6%,N/M
"Insight Partners XII Buyout Annex Fund, L.P.",2021,150000000,140430208,0,181075286,8.0%,1.3x
"Insight Partners XII, L.P.",2021,600000000,574829570,663047,641279188,3.4%,1.1x
"Insight Partners XIII Growth Buyout Fund, L.P.",2024,100000000,24005478,25474,26955749,N/M,N/M
"Insight Partners XIII, L.P.",2024,300000000,89240027,27042,104125905,N/M,N/M
"Insight Venture Partners Growth-Buyout Coinvestment Fund (B), L.P.",2015,400000000,433400000,1221220535,1507036591,25.5%,3.5x
"Insight Venture Partners IX, L.P.",2015,100000000,105668637,286505985,432489967,23.1%,4.1x
"Insight Venture Partners X, L.P.",2018,250000000,261808718,305885363,738876808,21.3%,2.8x
"Jade Equity Investors II, L.P.",2024,150000000,55295097,2685573,68005166,N/M,N/M
"Jade Equity Investors, L.P.",2020,155000000,161401987,107150180,257817100,18.4%,1.6x
"Jomo Growth Opportunities Fund, L.P.",2025,100000000,33561538,0,33219990,N/M,N/M
"JSC Capital Partners, L.P.",2024,1740626434,1745426069,0,3006531962,N/M,N/M
"K5 Private Investors, L.P.",2021,150000000,119238804,5985446,187142325,16.2%,1.6x
KKR 2006 Fund L.P.,2006,400000000,595407506,940703667,940703667,8.2%,1.6x
KKR Asian Fund II L.P.,2013,350000000,652630675,631425895,677550624,1.1%,1.0x
KKR Asian Fund IV SCSp,2021,300000000,238930742,71779562,351527615,17.0%,1.5x
KKR Asian Fund L.P.,2007,272575591,355648095,601148863,601242587,13.6%,1.7x
"KKR European Fund III, L.P.",2008,311011316,420920818,594012980,594012980,9.5%,1.4x
KKR European Fund V (USD) SCSp,2020,300000000,297128463,136961430,430767117,10.5%,1.4x
KKR North America Fund XIII SCSp,2022,600000000,580827401,12245770,750162067,12.9%,1.3x
"KM Corporate Partners Fund II, LP",2007,200000000,195212804,238176799,242394507,4.2%,1.2x
"KOALA PACIFIC PARTNERSHIP, L.P.",2024,200000000,150425662,0,191765099,N/M,N/M
"Lambtown, L.P.",2025,250000000,50090455,0,57600100,N/M,N/M
"Lightspeed Opportunity Fund II, LP",2022,200000000,198000000,0,400386979,37.1%,2.0x
"Lightspeed Opportunity Fund III, L.P.",2025,225000000,83250000,0,130597601,N/M,N/M
"Lightspeed Venture Partners Select V, L.P.",2022,100000000,94000000,0,147359861,21.5%,1.6x
"Lightspeed Venture Partners Select VI, L.P.",2025,125000000,35625000,0,65813338,N/M,N/M
"Lightspeed Venture Partners XIV-A (Inception), L.P.",2022,45000000,40275000,0,95046745,39.8%,2.4x
"Lightspeed Venture Partners XIV-B (Ignite), L.P.",2022,55000000,48950000,0,101421308,37.0%,2.1x
"Lightspeed Venture Partners XV-A (Inception), L.P.",2025,49500000,12622500,0,11951643,N/M,N/M
"Lightspeed Venture Partners XV-B (Ignite), L.P.",2025,60500000,22082500,0,31566237,N/M,N/M
"Lime Rock Partners IV, LP",2006,43000000,47917078,139501029,139578502,14.6%,2.9x
"Lincoln Plaza Fund, L.P.",2024,2000000000,1556716936,9063510,1719006570,N/M,N/M
"Lindsay Goldberg IV, L.P.",2015,136920941,225007457,391896909,452553492,28.8%,2.0x
"LongRange Capital Fund I, L.P.",2020,1500000000,978538402,322079991,1346819071,14.0%,1.4x
"LS Investments C, L.P.",2024,1500000000,807936627,0,1988529051,N/M,N/M
"Lux Ventures VIII, L.P.",2023,300000000,220500000,7699655,418518206,77.5%,1.9x
Magnolia Opportunities LLC,2023,100000000,41520333,16120000,51021349,37.0%,1.2x
"Mayfield Select III, a Delaware Limited Partnership",2025,24000000,5520000,0,5775501,N/M,N/M
"Mayfield XVII, a Delaware Limited Partnership",2024,21000000,5670000,0,7569836,N/M,N/M
"MBK Partners Fund VI, L.P.",2024,250000000,51081234,176483,91884373,N/M,N/M
"MFC Select III, L.P., a Delaware Limited Partnership",2025,200000000,7052369,0,6932355,N/M,N/M
